z[m]		ws[m/s]		rms[m/s]
0.000		0.105		0.032
28.191		3.608		0.177
56.382		7.642		0.348
84.572		12.009		0.359
112.763		13.436		0.324
140.954		14.914		0.232
169.145		16.486		0.236
197.335		18.218		0.245
225.526		20.010		0.200
253.717		21.605		0.232
281.908		22.712		0.199
310.099		23.261		0.161
338.289		23.269		0.109
366.480		22.793		0.076
394.671		22.460		0.066
422.862		22.357		0.068
451.052		22.330		0.065
479.243		22.253		0.047
507.434		22.105		0.040
535.625		21.955		0.044
563.816		21.807		0.040
592.006		21.746		0.043
620.197		21.658		0.042
648.388		21.568		0.037
676.579		21.505		0.025
704.769		21.438		0.027
732.960		21.411		0.056
761.151		21.363		0.075
789.342		21.474		0.068
817.533		21.599		0.064
845.723		21.770		0.056
873.914		21.830		0.082
902.105		21.792		0.094
930.296		21.710		0.111
958.487		21.747		0.094
986.677		21.790		0.082
1014.868		21.658		0.081
1043.059		21.619		0.081
1071.250		21.501		0.088
1099.440		21.394		0.083
1127.631		21.328		0.082
1155.822		21.116		0.096
1184.013		21.091		0.097
1212.203		21.111		0.093
1240.394		21.127		0.114
1268.585		21.242		0.115
1296.776		21.545		0.132
1324.967		21.629		0.145
1353.157		21.688		0.163
1381.348		21.832		0.158
1409.539		21.847		0.171
1437.730		21.553		0.174
1465.921		21.635		0.174
1494.111		21.577		0.196
1522.302		20.946		0.757
1550.493		20.374		0.930
1578.684		19.410		1.115
1606.875		19.234		1.122
1635.065		19.159		1.191
1663.256		17.802		1.053
1691.447		17.221		1.232
1719.638		16.408		0.993
1747.828		17.037		0.804
1776.019		17.121		0.825
1804.210		16.164		0.943
1832.401		15.692		1.001
1860.592		16.122		1.017
1888.782		14.082		0.959
1916.973		13.397		0.918
1945.164		11.509		0.907
1973.355		11.136		0.902
2001.545		10.081		0.980
2029.736		10.436		0.723
2057.927		9.843		0.996
2086.118		11.781		0.903
2114.309		12.613		1.113
2142.499		12.104		1.642
2170.690		11.829		1.063
2198.881		13.859		1.355
2227.072		13.131		1.033
2255.263		14.006		1.012
2283.453		13.849		1.065
2311.644		13.421		0.954
2339.835		14.808		1.053
2368.026		14.412		1.279
2396.216		13.107		1.483
2424.407		13.383		1.545
2452.598		14.138		1.625
2480.789		11.494		1.738
2508.979		11.657		1.491
2537.170		10.707		1.680
2565.361		9.562		1.782
2593.552		10.809		1.459
2621.742		8.976		1.442
2649.933		5.374		1.268
2678.124		6.685		2.076
2706.315		5.095		2.774
2734.506		3.853		3.046
2762.697		0.003		2.166
2790.887		7.120		2.030
2819.078		9.097		2.229
2847.269		13.588		1.949
2875.459		17.751		1.931
2903.650		17.121		1.095
2931.841		13.744		1.427
2960.032		15.366		1.464
2988.223		11.004		1.866
3016.413		8.345		2.998
3044.604		6.447		3.006
3072.795		2.068		3.700
3100.986		4.788		4.217
3129.177		5.066		3.813
3157.367		1.688		3.496
3185.558		4.011		3.552
3213.749		2.900		2.589
3241.940		4.867		1.580
3270.131		4.282		1.551
3298.321		6.484		1.751
3326.512		5.462		1.649
3354.703		6.907		2.248
3382.894		9.119		2.749
3411.084		5.988		2.804
3439.275		4.860		2.636
3467.466		1.710		2.371
3495.657		4.619		2.281
3523.848		2.114		3.052
3552.038		5.916		3.287
3580.229		3.435		3.049
3608.420		3.924		3.095
3636.611		4.060		2.946
3664.802		5.798		3.733
3692.992		5.240		3.531
3721.183		3.269		3.475
3749.374		3.529		2.617
3777.564		3.233		2.301
3805.756		2.765		2.925
3833.946		2.835		3.160
3862.137		5.522		2.736
3890.327		2.765		3.869
3918.519		5.570		3.759
3946.709		3.851		4.553
3974.900		5.980		4.171
4003.091		7.519		3.612
4031.281		6.818		2.381
4059.473		2.728		2.615
4087.663		6.342		2.643
4115.854		8.697		1.837
4144.044		7.751		1.937
4172.235		9.766		1.834
4200.426		9.344		2.366
4228.617		13.657		2.666
4256.808		16.080		2.832
4284.999		10.491		2.438
4313.189		8.886		3.034
4341.380		7.155		3.935
4369.571		5.480		4.805
4397.761		4.401		4.738
4425.953		2.526		3.915
4454.143		8.366		3.677
4482.334		6.376		3.219
4510.525		6.834		2.864
4538.715		4.919		2.378
4566.906		5.047		1.775
4595.097		7.226		2.445
4623.288		5.506		2.547
4651.479		6.795		2.557
4679.669		4.278		2.673
4707.860		5.609		2.804
4736.051		5.243		2.837
4764.242		7.543		2.920
4792.433		5.597		3.380
4820.624		4.318		3.320
4848.814		4.358		3.286
4877.005		2.223		3.088
4905.196		0.098		2.981
4933.386		2.670		3.364
4961.578		4.969		3.466
4989.768		8.421		3.570
5017.959		3.919		3.736
5046.150		5.518		3.806
5074.340		8.757		3.230
5102.531		9.763		2.861
5130.722		9.922		3.398
5158.913		9.015		2.533
5187.104		9.573		2.217
5215.294		10.774		2.444
5243.485		6.787		2.847
5271.676		4.592		3.462
5299.867		4.979		2.964
5328.058		7.916		2.291
5356.248		6.488		2.844
5384.439		8.208		1.447
5412.630		14.091		1.905
5440.821		11.725		2.493
5469.011		13.096		2.038
5497.202		12.543		2.582
5525.393		9.127		3.890
5553.583		8.375		4.617
5581.775		7.414		3.628
5609.965		6.038		2.721
5638.156		3.114		3.615
5666.347		1.961		3.532
5694.538		4.389		2.588
5722.729		3.008		1.796
5750.919		1.517		1.600
5779.110		1.183		2.202
5807.301		1.469		2.539
5835.492		1.740		2.178
5863.682		0.171		2.858
5891.873		0.710		2.229
5920.064		1.540		2.894
5948.254		0.888		2.248
5976.446		1.536		2.483
6004.636		1.596		2.111
6032.827		1.445		1.873
6061.018		4.548		2.503
6089.208		5.831		2.136
6117.400		3.496		2.053
6145.590		0.150		2.059
6173.781		3.081		2.466
6201.972		6.363		2.675
6230.163		9.693		3.317
6258.353		12.459		3.699
6286.544		13.640		2.468
6314.734		15.152		2.957
6342.926		15.447		2.575
6371.117		17.799		2.681
6399.307		14.284		2.756
6427.498		13.002		1.451
6455.688		14.086		2.166
6483.879		11.072		2.070
6512.070		8.533		2.345
6540.261		11.048		2.155
6568.451		13.144		2.937
6596.643		14.665		2.732
6624.833		16.695		1.737
6653.024		15.742		2.188
6681.215		17.928		1.964
6709.405		19.810		1.442
6737.597		18.646		0.781
6765.787		19.088		1.563
6793.978		17.232		1.575
6822.169		17.116		1.234
6850.359		16.169		1.176
6878.550		15.524		1.438
6906.741		15.131		1.266
6934.932		16.265		1.641
6963.123		16.693		1.950
6991.313		18.142		1.055
7019.504		22.052		2.176
7047.695		16.711		1.932
7075.886		16.579		2.326
7104.076		16.465		3.187
7132.268		19.917		4.180
7160.458		17.837		2.672
7188.649		17.633		2.380
7216.840		14.176		2.843
7245.030		11.261		2.480
7273.221		12.250		2.600
7301.412		0.302		4.912
7329.603		11.782		3.691
7357.794		6.016		3.155
7385.984		8.228		2.164
7414.175		9.321		3.061
7442.366		3.992		3.916
7470.557		5.724		4.165
7498.748		9.057		3.903
7526.938		8.391		3.028
7555.129		12.603		3.515
7583.320		15.473		3.308
7611.511		12.264		3.303
7639.701		12.875		2.838
7667.892		9.474		2.518
7696.083		4.871		2.678
7724.274		7.392		2.507
7752.465		7.579		1.481
7780.655		6.501		1.712
7808.847		10.381		1.846
7837.037		9.877		2.028
7865.228		7.147		2.188
7893.418		8.810		1.915
7921.609		4.191		3.019
7949.800		6.598		3.477
7977.991		7.463		2.554
8006.182		4.742		2.411
8034.373		7.482		1.805
8062.563		4.394		1.742
8090.753		8.079		2.617
8118.945		8.331		3.704
8147.136		4.946		4.964
8175.326		5.828		4.723
8203.517		0.373		3.813
8231.709		4.320		3.749
8259.898		3.813		3.532
8288.089		5.217		3.719
8316.280		9.719		3.011
8344.471		3.913		2.540
8372.661		5.392		2.734
8400.853		7.256		3.013
8429.044		3.553		2.860
8457.234		7.447		2.732
8485.425		6.661		3.752
8513.615		10.045		3.118
8541.807		9.421		2.907
8569.997		8.204		1.258
8598.188		4.192		2.022
8626.379		9.323		1.814
8654.569		10.240		1.176
8682.760		11.424		2.341
8710.952		6.703		2.027
8739.143		5.838		2.048
8767.333		6.056		2.201
8795.522		5.917		2.693
8823.714		7.758		3.015
8851.905		7.072		2.502
8880.096		5.125		2.128
8908.286		7.075		1.598
8936.478		11.231		2.348
8964.668		13.759		2.961
8992.859		16.744		3.893
