P[mb]	z[m]	T[C]	Td[C]	WS[m/s]
924.0	0.00	24.1	15.9	0.000
923.2	13.50	23.9	16.5	12.913
922.7	27.00	23.7	16.3	13.123
922.1	33.50	23.7	16.2	13.278
921.6	40.00	23.7	16.3	13.360
920.9	46.50	23.7	16.2	13.422
920.3	53.00	23.6	16.1	13.463
919.7	59.00	23.5	16.1	13.520
919.2	65.00	23.4	16.0	13.561
918.6	71.00	23.4	16.0	13.617
918.0	77.00	23.4	16.0	13.689
917.4	83.00	23.4	16.0	13.792
916.9	88.00	23.4	15.9	13.916
916.3	93.00	23.4	16.0	14.044
915.8	96.50	23.4	16.0	14.173
915.3	100.00	23.5	16.0	14.296
914.7	104.50	23.5	16.0	14.404
914.2	108.90	23.5	16.0	14.528
913.7	114.40	23.4	16.0	14.662
913.2	119.90	23.5	15.9	14.780
912.7	124.90	23.6	16.0	14.883
912.2	129.90	23.7	16.1	14.975
911.7	134.90	23.7	16.1	15.053
911.2	139.90	23.7	16.0	15.120
910.6	144.90	23.6	15.9	15.176
910.1	149.90	23.7	15.9	15.222
909.6	154.90	23.8	16.0	15.284
909.1	159.90	23.8	15.9	15.372
908.6	163.90	23.7	15.9	15.464
908.2	167.90	23.6	15.8	15.562
907.7	171.90	23.6	15.7	16.992
907.2	176.90	23.7	15.8	17.213
906.7	181.90	23.6	15.7	17.398
906.3	184.90	23.6	15.7	17.548
905.8	187.90	23.6	15.7	17.676
905.4	192.90	23.7	15.8	17.784
904.9	198.90	23.7	15.8	17.887
904.5	203.90	23.8	15.8	18.047
904.1	206.90	23.8	15.7	18.206
903.6	210.40	23.7	15.7	18.366
903.2	213.90	23.7	15.7	18.520
902.7	218.40	23.7	15.6	18.664
902.2	222.90	23.7	15.6	18.798
901.8	227.90	23.7	15.6	18.916
901.3	232.80	23.7	15.6	19.019
900.9	236.80	23.7	15.5	19.117
900.4	240.80	23.6	15.5	19.199
900.0	244.80	23.6	15.5	19.287
899.6	248.80	23.6	15.5	19.369
899.1	253.10	23.6	15.5	19.441
898.7	257.30	23.6	15.5	19.513
898.3	261.60	23.6	15.4	19.575
897.8	265.80	23.5	15.4	19.641
897.4	269.80	23.5	15.4	19.698
897.0	273.80	23.5	15.4	19.755
896.6	278.80	23.5	15.4	19.806
896.2	281.80	23.5	15.3	19.847
895.9	285.80	23.5	15.4	19.883
895.5	288.80	23.5	15.3	19.909
895.1	291.80	23.5	15.3	19.930
894.8	295.30	23.5	15.3	19.945
894.4	298.80	23.4	15.3	19.955
894.1	301.80	23.4	15.2	19.955
893.7	304.80	23.4	15.2	19.955
